place,user_type,unsafe_review_percent,Wellness & Relaxation,Transportation,Food & Dining,Nature & Activities,Entertainment & Shopping,Accommodation,Crowds & Sustainability,Religious & Historical
Abhayagiri Dagaba,couple,0.0,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 33.33%; positive: 66.67%; very positive: 0.0%
Abhayagiri Dagaba,group,0.0,very negative: 0.0%; negative: 1.72%; neutral: 96.55%; positive: 1.72%; very positive: 0.0%,very negative: 0.0%; negative: 1.72%; neutral: 98.28%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 93.1%; positive: 3.45%; very positive: 3.45%,very negative: 0.0%; negative: 0.0%; neutral: 98.28%; positive: 1.72%; very positive: 0.0%,very negative: 0.0%; negative: 1.72%; neutral: 94.83%; positive: 3.45%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 98.28%; positive: 1.72%; very positive: 0.0%,very negative: 3.45%; negative: 8.62%; neutral: 58.62%; positive: 20.69%; very positive: 8.62%
Abhayagiri Dagaba,solo,0.0,very negative: 0.0%; negative: 0.0%; neutral: 91.18%; positive: 8.82%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 97.06%; positive: 2.94%; very positive: 0.0%,very negative: 2.94%; negative: 2.94%; neutral: 94.12%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 2.94%; neutral: 97.06%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 97.06%; positive: 2.94%; very positive: 0.0%,very negative: 14.71%; negative: 5.88%; neutral: 58.82%; positive: 20.59%; very positive: 0.0%
Abhayagiri Dagaba,unknown,0.0,very negative: 0.0%; negative: 1.98%; neutral: 95.05%; positive: 2.97%; very positive: 0.0%,very negative: 0.0%; negative: 0.99%; neutral: 94.06%; positive: 2.97%; very positive: 1.98%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.99%; negative: 0.99%; neutral: 89.11%; positive: 7.92%; very positive: 0.99%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 98.02%; positive: 0.99%; very positive: 0.99%,very negative: 0.0%; negative: 0.99%; neutral: 99.01%; positive: 0.0%; very positive: 0.0%,very negative: 5.94%; negative: 7.92%; neutral: 51.49%; positive: 24.75%; very positive: 9.9%
Ambewela Farms,family,0.0,very negative: 0.0%; negative: 0.0%; neutral: 98.21%; positive: 0.0%; very positive: 1.79%,very negative: 5.36%; negative: 3.57%; neutral: 76.79%; positive: 7.14%; very positive: 7.14%,very negative: 0.0%; negative: 0.0%; neutral: 92.86%; positive: 7.14%; very positive: 0.0%,very negative: 3.57%; negative: 0.0%; neutral: 82.14%; positive: 8.93%; very positive: 5.36%,very negative: 0.0%; negative: 1.79%; neutral: 96.43%; positive: 1.79%; very positive: 0.0%,very negative: 1.79%; negative: 0.0%; neutral: 96.43%; positive: 1.79%; very positive: 0.0%,very negative: 0.0%; negative: 1.79%; neutral: 98.21%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Ambewela Farms,group,2.13,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 2.13%; negative: 6.38%; neutral: 80.85%; positive: 6.38%; very positive: 4.26%,very negative: 2.13%; negative: 0.0%; neutral: 87.23%; positive: 6.38%; very positive: 4.26%,very negative: 4.26%; negative: 0.0%; neutral: 80.85%; positive: 10.64%; very positive: 4.26%,very negative: 0.0%; negative: 0.0%; neutral: 95.74%; positive: 2.13%; very positive: 2.13%,very negative: 0.0%; negative: 2.13%; neutral: 97.87%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 97.87%; positive: 2.13%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Ambewela Farms,solo,0.0,very negative: 0.0%; negative: 0.0%; neutral: 95.0%; positive: 5.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 5.0%; neutral: 90.0%; positive: 5.0%; very positive: 0.0%,very negative: 0.0%; negative: 5.0%; neutral: 75.0%; positive: 15.0%; very positive: 5.0%,very negative: 0.0%; negative: 0.0%; neutral: 90.0%; positive: 5.0%; very positive: 5.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 95.0%; positive: 5.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Ambewela Farms,unknown,0.0,very negative: 0.0%; negative: 0.0%; neutral: 97.92%; positive: 2.08%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 91.67%; positive: 2.08%; very positive: 6.25%,very negative: 0.0%; negative: 0.0%; neutral: 89.58%; positive: 4.17%; very positive: 6.25%,very negative: 2.08%; negative: 2.08%; neutral: 70.83%; positive: 10.42%; very positive: 14.58%,very negative: 0.0%; negative: 4.17%; neutral: 89.58%; positive: 6.25%; very positive: 0.0%,very negative: 0.0%; negative: 2.08%; neutral: 97.92%; positive: 0.0%; very positive: 0.0%,very negative: 2.08%; negative: 4.17%; neutral: 87.5%; positive: 4.17%; very positive: 2.08%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Ariyapala Mask Museum,couple,0.0,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 100.0%; negative: 0.0%; neutral: 0.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Ariyapala Mask Museum,family,0.0,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 90.91%; positive: 9.09%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 18.18%; negative: 0.0%; neutral: 27.27%; positive: 36.36%; very positive: 18.18%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Ariyapala Mask Museum,group,2.63,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 94.74%; positive: 2.63%; very positive: 2.63%,very negative: 0.0%; negative: 0.0%; neutral: 97.37%; positive: 0.0%; very positive: 2.63%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 7.89%; negative: 13.16%; neutral: 50.0%; positive: 18.42%; very positive: 10.53%,very negative: 0.0%; negative: 0.0%; neutral: 97.37%; positive: 0.0%; very positive: 2.63%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
