sentence,aspect,label
"It was peaceful near the temple in the early morning, despite the trash around the area.",Crowds & Sustainability,1
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Nature & Activities,4
so glad we chose this over the elephant orphanage as it offered us a chance to enjoy the elephants in a natural setting,Nature & Activities,3
so sad to think that the reason why the elephants are there is because of the impact of man on their natural environment baby elephants frightened falling down wells electric fences orphaned,Crowds & Sustainability,1
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Religious & Historical,3
let alone the poor coral being destroyed by careless swimmers,Nature & Activities,1
lovely sandy beach free beds on beach if you buy drinks from attached bars very nice atmosphere not crowded and fab waves great place to surf or just watch,Nature & Activities,0
calm indian ocean waters,Wellness & Relaxation,3
a small walk from the ramboda falls hotel you get to see this beautiful waterfall,Nature & Activities,3
i especially enjoyed seeing the pepper plant as i would never really considered where all that pepper i eat comes from and eating them fresh was amazing we learnt a lot about the spices and in particular we saw a cinnamon tree and learnt how different it is from the indian version,Food & Dining,0
nothing like being able to chill out in a cool room after a busy morning out on the beach or riding around,Accommodation,1
we were there late morning so it was difficult to walk on the hot stones,Nature & Activities,1
"The spa was peaceful, but the food was overpriced and bland.",Food & Dining,1
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Nature & Activities,4
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Religious & Historical,3
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Entertainment & Shopping,3
across the road there is a tea shop with cakes,Food & Dining,2
very peaceful and lovely environment,Wellness & Relaxation,4
thought that mrs johnson and i would walk around the lake after lunch,Nature & Activities,2
glorious we met a man whose family had perished in the tsunami extremely sad story but it was not on this beach which was not as badly affected as those further east,Nature & Activities,0
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Religious & Historical,3
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Crowds & Sustainability,1
it was not as busy as i believe yala is and the jeep drivers shared sightings to get the best for everyone,Crowds & Sustainability,0
do not spend time there before your climb though as the earlier you go up the rock the better,Nature & Activities,1
"It was peaceful near the temple in the early morning, despite the trash around the area.",Religious & Historical,3
loved this adventure,Nature & Activities,4
what we did like was that there was not that strong waves so even smaller swimmers could enjoy the ocean,Nature & Activities,0
The pool and massage were amazing; the room view was disappointing though.,Wellness & Relaxation,4
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Entertainment & Shopping,3
our guide was very knowledgeable this enhanced the trip,Transportation,3
The pool and massage were amazing; the room view was disappointing though.,Accommodation,1
it was along journey back to the exit though in a very uncomfortable jeep,Transportation,1
only complaint the visibilty from the safari wagons is very limited by having a solid fixed fibreglass roof and a roll down 9 surrounding pelmet so anything in the trees ie birds is impossible to see,Nature & Activities,1
we came here in a tuk tuk and arrived at an old worn out building,Transportation,2
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Crowds & Sustainability,1
the gift shop is extensive and allows you to get your gifts for your return home,Entertainment & Shopping,2
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Entertainment & Shopping,3
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Transportation,0
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Nature & Activities,4
nice beach with nice view one can watch nicely sunset there and can enjoy beauty of nature just nearby one railway line is there where train passes in regular intervals,Nature & Activities,3
a very beautiful and scenic place and worth every steep step you climb to see the temple,Religious & Historical,4
"The historical museum was fascinating, but the walk to get there was exhausting.",Transportation,1
it is one of the few in this area which is still used as a holy place and temple,Religious & Historical,1
i came during morning and the place was full of school classes so maybe afternoons are better leave time for a walk through the well tended grounds,Nature & Activities,4
the fort walls have a really great view of the sunset and with pedlar street running off it makes for a nice few hours of shopping and grappling a bite to eat,Accommodation,4
The pool and massage were amazing; the room view was disappointing though.,Accommodation,1
also it is a beach with a city view in a distance not exactly the palm tree you probably are looking for,Nature & Activities,0
this waterfall is so exciting and beautiful to watch that you will have to be dragged away,Nature & Activities,4
the hotel offers various water sports,Accommodation,2
beach and water was very clean,Nature & Activities,4
it is a very small one and after a few minutes you have seen everything expect of course if you want to swim in the tidy pool under the waterfall,Nature & Activities,2
what a chilled place beautiful crashing waves great opportunities to learn to surf plenty of places to eat and shops to peruse,Food & Dining,4
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Food & Dining,3
we wanted a place on the beach side of the road so choose sea world hotel which had fantastic views and excellent breakfast,Food & Dining,4
"The spa was peaceful, but the food was overpriced and bland.",Food & Dining,1
apparently it is a green zone no plastic or rubbish allowed in but look over the fence and there it all is why throw it over the fence at a sacred places i do not understand it is a beautiful place and it is treated like a tip,Crowds & Sustainability,1
not too many hotels means that the beach is not packed with people and touts,Nature & Activities,1
the size of this monument will take your breath away the white colouring also goes to show how much time is taken on these creations,Religious & Historical,2
but it just keeps going the zoo is clean well maintained the animals seem happy and we very much enjoyed our visit,Nature & Activities,4
but after the entire buddhist temples circuit realized this was another cave temple with a good amount of history to it,Religious & Historical,1
better beaches with less effort it is quiet but there are no services on beach so i would say you are better going east towards thalpe where the beaches off the road are amazing,Transportation,0
if you are looking for temples in colombo and have limited time this is a great temple to visit in colombo,Religious & Historical,3
it is definitely a good walk to take some pictures go for a morning walk and do some picnics,Nature & Activities,4
to me the main attraction of the orphanage is the elephant is bath time it is amazing to watch and my wife loved it i have never seen anything like that beforebut it was quite fun,Nature & Activities,1
The pool and massage were amazing; the room view was disappointing though.,Wellness & Relaxation,4
the fort had amazing views of the harbor,Religious & Historical,4
great safari we saw family of baby elephants monitor lizards peacocks pelicans water buffalo two types of monkeys,Nature & Activities,4
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Religious & Historical,3
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Food & Dining,3
"The historical museum was fascinating, but the walk to get there was exhausting.",Religious & Historical,4
"The historical museum was fascinating, but the walk to get there was exhausting.",Transportation,1
"It was peaceful near the temple in the early morning, despite the trash around the area.",Crowds & Sustainability,1
our visits to other parks yala horton plains and wilpattu resulted in few elephant sightings,Nature & Activities,2
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Food & Dining,3
we spent around 3 hours by the lake had lunch lake side and walked around as far as we could lovely location and you can take a number of different boat trips on the lake a number of street styles eating cabins are also available but we chosen a hotel restaurant right on lake so able to enjoy the wonderful views location,Food & Dining,3
all in all the rest looked happy in their pack and the must see is the river bath time,Wellness & Relaxation,4
you can take a good walk for unwinding,Nature & Activities,4
Our hotel room was small but very clean; the spa service was excellent.,Accommodation,2
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Entertainment & Shopping,3
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Crowds & Sustainability,1
they were extremely concerned about our son who was ill with food poisoning and gave him some herbal remedy to help him,Food & Dining,1
the orchid section was excellent rest portion not properly maintained,Wellness & Relaxation,1
"The spa was peaceful, but the food was overpriced and bland.",Food & Dining,1
"It was peaceful near the temple in the early morning, despite the trash around the area.",Crowds & Sustainability,1
when the sea is not so calm be very careful i stayed at least 1020 meters away from the nearest visible rock and i could still see some rocks beneath me,Wellness & Relaxation,0
then we discovered the mouse living in the rolled up roof and shared the ride with himher for the rest of the trip,Transportation,2
weird setup to access the waterfall through a hotel,Nature & Activities,1
you may be able to see reef sharks and turtles if you can brave the waves and jellys,Nature & Activities,4
the time you need here depends on your ability to climb,Nature & Activities,2
we visited the dark pool area first then onto mihintale where we were pestered by guides but pleased we decided not to use one entrance fee at lkr 500 was very reasonable compared to anuradhapura,Religious & Historical,0
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Religious & Historical,3
and when we got back to our hotel our driver wanted a tip do not waste your money one of the elephants we saw could hardly stand up and walk,Crowds & Sustainability,2
our 6 month old loved it the water was warm no waves he could have sat on the shoreline eating sand all day,Nature & Activities,1
a walk through the clouds,Nature & Activities,2
as expected the this dagoba was a highlight of our time spent exploring the anuradhapura heritage sites,Religious & Historical,2
